Taxable Year,Zip Code,State,City,County,Returns,CA AGI,Total Tax Liability,CountyLatitude,CountyLongitude,Geo County,Geo City,Geo ZipCode
2016,90081,CA,Los Angeles,Los Angeles,253,37372894,2520157,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90093,CA,Los Angeles,Los Angeles,256,11458407,400179,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90071,CA,Los Angeles,Los Angeles,472,191612535,34618266,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.255066 34.052588)
2016,90078,CA,Los Angeles,Los Angeles,531,30605240,2455931,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.33 34.1)
2016,90009,CA,Los Angeles,Los Angeles,1107,68083145,2926487,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.3858 33.953734)
2016,90021,CA,Los Angeles,Los Angeles,1407,128192294,10197600,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.240375 34.029411)
2016,90058,CA,Los Angeles,Los Angeles,1460,206628814,20983203,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.217748 34.00188)
2016,90010,CA,Los Angeles,Los Angeles,2504,461531053,46181745,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.31166900000001 34.061809)
2016,90014,CA,Los Angeles,Los Angeles,3620,273253229,16960310,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.251756 34.04306100000001)
2016,90067,CA,Los Angeles,Los Angeles,3640,2088498632,257515339,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.414336 34.057398)
2016,90077,CA,Los Angeles,Los Angeles,4263,1478442019,174064591,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.454618 34.102804)
2016,90056,CA,Los Angeles,Los Angeles,4563,432535385,22971989,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.373557 33.992817)
2016,90013,CA,Los Angeles,Los Angeles,4627,376128033,24002938,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.24159899999998 34.04469)
2016,90094,CA,Los Angeles,Los Angeles,4727,694139908,46314241,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.419044 33.974675)
2016,90040,CA,Los Angeles,Los Angeles,5629,302016034,15471705,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.15070299999998 33.995379)
2016,90015,CA,Los Angeles,Los Angeles,8286,535790257,32302043,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.26629800000002 34.038913)
2016,90017,CA,Los Angeles,Los Angeles,9477,579360778,32201458,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.26420000000002 34.052895)
2016,90061,CA,Los Angeles,Los Angeles,11293,344338982,4274073,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.274317 33.923076)
2016,90012,CA,Los Angeles,Los Angeles,11861,640117735,30032276,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.23953200000001 34.064406)
2016,90068,CA,Los Angeles,Los Angeles,12077,1450600181,101064415,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.33000500000001 34.12516)
2016,90041,CA,Los Angeles,Los Angeles,13111,880963012,35131993,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.207164 34.137321)
2016,90048,CA,Los Angeles,Los Angeles,13125,1541900101,111748642,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.373334 34.072615)
2016,90038,CA,Los Angeles,Los Angeles,13302,574169997,21971536,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.32649 34.088618)
2016,90007,CA,Los Angeles,Los Angeles,13473,386406211,7161395,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.28507000000002 34.027762)
2016,90062,CA,Los Angeles,Los Angeles,14095,452583812,6573773,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.308985 34.003587)
2016,90035,CA,Los Angeles,Los Angeles,14519,1395750680,83365429,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),
2016,90008,CA,Los Angeles,Los Angeles,14553,720170413,23915025,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.346393 34.0088)
2016,90039,CA,Los Angeles,Los Angeles,15105,1149952611,57993845,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.260085 34.109617)
2016,90064,CA,Los Angeles,Los Angeles,15127,2985472876,297381382,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.42689900000002 34.035932)
2016,90028,CA,Los Angeles,Los Angeles,15328,686254333,30468476,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.32708300000002 34.09981)
2016,90057,CA,Los Angeles,Los Angeles,15416,443884779,8227113,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.277209 34.062568)
2016,90059,CA,Los Angeles,Los Angeles,15837,466349088,4594346,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.248178 33.926931)
2016,90005,CA,Los Angeles,Los Angeles,16101,806326388,37862833,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.308884 34.059746)
